CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
1626166,Cameron Payne,1610612755,PHI,G,31.0,4,4,0.737,2.25,3.5,0.643,0.551,0.092
1641772,Nae'Qwan Tomlin,1610612739,CLE,F,25.0,47,44,0.548,1.87,3.49,0.537,0.548,-0.012
1642348,Justin Edwards,1610612755,PHI,F,22.0,37,32,0.612,2.19,3.46,0.633,0.537,0.096
1641989,Elijah Harkless,1610612762,UTA,G,26.0,9,8,0.633,2.0,3.44,0.581,0.53,0.05
1628988,Aaron Holiday,1610612745,HOU,G,29.0,34,31,0.603,2.09,3.44,0.607,0.539,0.068
1629726,Garrison Mathews,1610612754,IND,G,29.0,14,13,0.658,2.0,3.43,0.583,0.529,0.054
1641740,Jaylen Clark,1610612750,MIN,G,24.0,53,51,0.631,1.74,3.42,0.508,0.537,-0.028
1630175,Cole Anthony,1610612749,MIL,G,25.0,33,30,0.523,2.0,3.42,0.584,0.535,0.049
1641722,Jordan Hawkins,1610612740,NOP,G,23.0,37,35,0.595,2.14,3.38,0.632,0.542,0.09
1641715,Cam Whitmore,1610612764,WAS,F,21.0,21,19,0.628,1.9,3.38,0.563,0.551,0.012
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,33.0,50,47,0.591,2.16,3.38,0.639,0.547,0.092
1641711,Gradey Dick,1610612761,TOR,G-F,22.0,56,54,0.555,2.11,3.36,0.628,0.533,0.095
1630702,Jaden Hardy,1610612764,WAS,G,23.0,33,33,0.694,1.79,3.36,0.532,0.534,-0.002
1627780,Gary Payton II,1610612744,GSW,G,33.0,52,49,0.607,1.77,3.33,0.532,0.554,-0.022
1642260,Nikola Topić,1610612760,OKC,G,20.0,3,3,0.667,1.33,3.33,0.4,0.53,-0.13
1642449,Tolu Smith,1610612765,DET,F,25.0,6,6,0.588,1.83,3.33,0.55,0.563,-0.013
1626145,Tyus Jones,1610612742,DAL,G,29.0,56,55,0.648,2.05,3.32,0.618,0.529,0.089
1642880,Kam Jones,1610612754,IND,G,24.0,20,18,0.653,1.8,3.3,0.545,0.533,0.013
1628975,Jevon Carter,1610612753,ORL,G,30.0,25,23,0.577,1.72,3.28,0.524,0.527,-0.002
204456,T.J. McConnell,1610612754,IND,G,33.0,43,39,0.625,1.72,3.26,0.529,0.535,-0.007
1643007,Taelon Peter,1610612754,IND,G,24.0,23,21,0.682,2.09,3.26,0.64,0.542,0.098
1628396,Tony Bradley,1610612754,IND,C-F,28.0,32,30,0.601,1.63,3.25,0.5,0.565,-0.065
1630536,Sharife Cooper,1610612764,WAS,G,24.0,16,14,0.553,1.63,3.25,0.5,0.529,-0.029
101108,Chris Paul,1610612746,LAC,G,40.0,16,15,0.642,2.06,3.25,0.635,0.523,0.112
1628420,Monte Morris,1610612754,IND,G,30.0,5,5,0.571,2.0,3.2,0.625,0.535,0.09
1631207,Dalen Terry,1610612755,PHI,F,23.0,32,29,0.627,1.56,3.16,0.495,0.532,-0.037
1627824,Guerschon Yabusele,1610612741,CHI,F,30.0,49,41,0.646,1.9,3.16,0.6,0.561,0.039
1641780,Johni Broome,1610612755,PHI,F,23.0,7,7,0.71,2.14,3.14,0.682,0.566,0.116
203482,Kelly Olynyk,1610612759,SAS,F-C,34.0,31,27,0.516,1.84,3.13,0.588,0.549,0.039
1642278,Tyler Kolek,1610612752,NYK,G,24.0,45,40,0.603,1.6,3.13,0.511,0.522,-0.011
1629026,Kenrich Williams,1610612760,OKC,G-F,31.0,39,36,0.604,1.85,3.13,0.59,0.549,0.041
1626204,Larry Nance Jr.,1610612739,CLE,F-C,33.0,26,23,0.6,1.81,3.12,0.58,0.554,0.026
1642918,Alijah Martin,1610612761,TOR,G,24.0,10,8,0.646,1.6,3.1,0.516,0.55,-0.034
1630224,Jalen Green,1610612756,PHX,G,24.0,12,11,0.529,1.17,3.08,0.378,0.532,-0.153
1642261,Dalton Knecht,1610612747,LAL,F,24.0,36,33,0.625,1.67,3.06,0.545,0.539,0.007
1631124,Julian Strawther,1610612743,DEN,G,23.0,32,30,0.563,1.63,3.06,0.531,0.545,-0.015
1630592,Jalen Wilson,1610612751,BKN,F,25.0,37,33,0.574,1.86,3.05,0.611,0.536,0.075
203914,Gary Harris,1610612749,MIL,G,31.0,39,34,0.502,1.79,3.0,0.598,0.542,0.056
203967,Dario Saric,1610612758,SAC,F-C,31.0,5,5,0.625,2.2,3.0,0.733,0.545,0.188
1642484,RayJ Dennis,1610612737,ATL,G,24.0,12,9,0.643,1.92,3.0,0.639,0.531,0.108
1630165,Killian Hayes,1610612758,SAC,G,24.0,3,3,0.529,1.33,3.0,0.444,0.539,-0.095
1630621,Hunter Dickinson,1610612740,NOP,C,25.0,1,1,0.375,2.0,3.0,0.667,0.544,0.123
1641725,Trey Alexander,1610612740,NOP,G,22.0,4,4,0.632,1.5,3.0,0.5,0.54,-0.04
1642939,Miles Kelly,1610612742,DAL,G,23.0,9,8,0.711,2.0,3.0,0.667,0.54,0.127
1631111,Wendell Moore Jr.,1610612765,DET,G,24.0,5,5,0.625,1.6,3.0,0.533,0.526,0.007
1629646,Charles Bassey,1610612755,PHI,C-F,25.0,3,3,0.9,1.33,3.0,0.444,0.56,-0.116
1642265,Rob Dillingham,1610612741,CHI,G,21.0,40,37,0.7,1.73,2.98,0.58,0.546,0.034
203926,Doug McDermott,1610612758,SAC,F,34.0,11,10,0.667,1.36,2.91,0.469,0.512,-0.043
1642859,Jase Richardson,1610612753,ORL,G,20.0,37,37,0.733,1.57,2.89,0.542,0.538,0.004
1641871,Duop Reath,1610612757,POR,C,29.0,28,22,0.6,1.39,2.89,0.481,0.558,-0.076
1631166,Drew Timme,1610612747,LAL,F,25.0,14,13,0.571,1.64,2.86,0.575,0.562,0.013
1642866,Joan Beringer,1610612750,MIN,F,19.0,27,25,0.688,1.48,2.85,0.519,0.542,-0.023
1630182,Josh Green,1610612766,CHA,G,25.0,36,33,0.576,1.53,2.83,0.539,0.549,-0.01
1631133,Jabari Walker,1610612755,PHI,F,23.0,49,47,0.648,1.55,2.82,0.551,0.56,-0.01
1641733,Nick Smith Jr.,1610612747,LAL,G,21.0,22,21,0.554,1.77,2.82,0.629,0.553,0.076
1628371,Jonathan Isaac,1610612753,ORL,F,28.0,43,39,0.708,1.28,2.81,0.455,0.554,-0.099
1641712,Rayan Rupert,1610612763,MEM,G-F,21.0,47,44,0.621,1.55,2.79,0.557,0.535,0.022
1630256,Jae'Sean Tate,1610612745,HOU,F,30.0,28,25,0.69,1.46,2.79,0.526,0.527,-0.001
1629021,Moritz Wagner,1610612753,ORL,F-C,28.0,17,16,0.58,1.41,2.76,0.511,0.556,-0.046
1642877,Micah Peavy,1610612740,NOP,G-F,24.0,45,41,0.582,1.42,2.76,0.516,0.551,-0.035
1642357,David Jones Garcia,1610612759,SAS,G,24.0,8,8,0.71,1.25,2.75,0.455,0.493,-0.039
1642367,Jonathan Mogbo,1610612761,TOR,F,24.0,17,16,0.73,1.41,2.71,0.522,0.536,-0.014
1642862,Liam McNeeley,1610612766,CHA,F,20.0,26,24,0.625,1.42,2.69,0.529,0.548,-0.019
1631288,Jamal Cain,1610612753,ORL,F,26.0,16,13,0.642,1.44,2.69,0.535,0.522,0.013
1630587,Isaiah Livers,1610612756,PHX,F,27.0,31,27,0.643,1.48,2.68,0.554,0.54,0.014
1642868,Carter Bryant,1610612759,SAS,F,20.0,45,39,0.588,1.24,2.67,0.467,0.542,-0.076
1642396,Blake Hinson,1610612762,UTA,F,26.0,3,3,0.444,2.0,2.67,0.75,0.542,0.208
1630811,Keaton Wallace,1610612737,ATL,G,27.0,37,34,0.544,1.51,2.65,0.571,0.532,0.039
1641755,Kevin McCullar Jr.,1610612752,NYK,G,24.0,11,10,0.569,1.64,2.64,0.621,0.551,0.07
